21000100_exp1_Juan 1_01/01/96_20_0_1
21000200_exp2_Juan 2_02/02/96_20_0_1
21000300_exp3_Juan 3_30/01/96_20_0_1
20000100_exp1_Juan 4_01/02/95_19_0_2
20000200_exp2_Juan 5_02/02/95_19_0_2
20000300_exp3_Juan 6_03/03/95_19_1_2
19000100_exp1_Juan 7_04/01/94_18_2_3
19000200_exp2_Juan 8_05/05/94_18_3_3
19000300_exp1_Juan 9_06/06/94_18_0_3
18000100_exp3_Juan 10_07/07/93_17_0_4
18000200_exp2_Juan 11_08/08/93_17_0_4
18000300_exp1_Juan 12_09/09/93_17_5_4
17000100_exp5_Juan 13_10/10/92_16_0_5
17000200_exp6_Juan 14_11/11/92_16_7_5
17000300_exp8_Juan 15_12/12/92_16_0_5
16000100_exp9_Juan 16_13/03/91_15_0_6
16000200_exp7_Juan 17_25/04/91_15_4_6
16000300_exp10_Juan 18_26/05/91_15_0_6
15000100_exp6_Juan 19_24/01/90_14_0_7
15000200_exp9_Juan 20_21/01/90_14_3_7
15000300_exp8_Juan 21_22/09/90_14_0_7
14000100_exp7_Juan 23_20/10/89_13_0_8
14000200_exp1_Juan 24_19/07/89_13_2_8
14000300_exp3_Juan 25_18/06/89_13_0_8
13000100_exp3_Juan 26_17/03/88_12_5_9
13000200_exp3_Juan 27_18/12/88_12_0_9
13000300_exp2_Juan 28_16/12/88_12_6_9
12000100_exp5_Juan 29_01/11/87_11_0_10
12000200_exp9_Juan 30_03/02/87_5_9_10
